lr-AdamW,step,val_loss,val_score,val_AUROC,epoch,train_loss,train_score,train_AUROC
1.220245676671809e-06,49,,,,,,,
1.220245676671809e-06,99,,,,,,,
1.220245676671809e-06,149,,,,,,,
,161,0.004271669778972864,1.0,1.0,0,,,
,161,,,,1,0.18936705589294434,0.9890248775482178,0.9890248775482178
1.220245676671809e-06,199,,,,,,,
1.220245676671809e-06,249,,,,,,,
1.220245676671809e-06,299,,,,,,,
,323,0.0016337656415998936,0.9999999403953552,0.9999999403953552,1,,,
,323,,,,2,0.021539460867643356,0.9996047019958496,0.9996047019958496
1.220245676671809e-06,349,,,,,,,
1.220245676671809e-06,399,,,,,,,
1.220245676671809e-06,449,,,,,,,
,485,0.0005633396795019507,1.0,1.0,2,,,
,485,,,,3,0.004843615461140871,1.0,1.0
1.220245676671809e-06,499,,,,,,,
1.220245676671809e-06,549,,,,,,,
1.220245676671809e-06,599,,,,,,,
,647,0.0003189386334270239,1.0,1.0,3,,,
,647,,,,4,0.0012898052809759974,1.0,1.0
1.220245676671809e-06,649,,,,,,,
1.220245676671809e-06,699,,,,,,,
1.220245676671809e-06,749,,,,,,,
1.220245676671809e-06,799,,,,,,,
,809,0.00018278902280144393,0.9999999403953552,0.9999999403953552,4,,,
,809,,,,5,0.0021807958837598562,0.9999998807907104,0.9999998807907104
1.220245676671809e-06,849,,,,,,,
1.220245676671809e-06,899,,,,,,,
1.220245676671809e-06,949,,,,,,,
,971,6.0383255913620815e-05,1.0,1.0,5,,,
,971,,,,6,0.005560057703405619,0.9999833106994629,0.9999833106994629
1.220245676671809e-06,999,,,,,,,
1.220245676671809e-06,1049,,,,,,,
1.220245676671809e-06,1099,,,,,,,
,1133,0.00019365061598364264,0.9999999403953552,0.9999999403953552,6,,,
,1133,,,,7,0.012080094777047634,0.9998999834060669,0.9998999834060669
1.220245676671809e-06,1149,,,,,,,
1.220245676671809e-06,1199,,,,,,,
1.220245676671809e-06,1249,,,,,,,
,1295,7.056862523313612e-05,1.0,1.0,7,,,
,1295,,,,8,0.0013640071265399456,1.0,1.0
1.220245676671809e-06,1299,,,,,,,
1.220245676671809e-06,1349,,,,,,,
1.220245676671809e-06,1399,,,,,,,
1.220245676671809e-06,1449,,,,,,,
,1457,5.429267912404612e-05,1.0,1.0,8,,,
,1457,,,,9,0.00048779393546283245,1.0,1.0
1.220245676671809e-06,1499,,,,,,,
1.220245676671809e-06,1549,,,,,,,
1.220245676671809e-06,1599,,,,,,,
,1619,0.006316203624010086,0.9999999403953552,0.9999999403953552,9,,,
,1619,,,,10,0.006861476227641106,0.999995231628418,0.999995231628418
