val_loss,val_score,val_AUROC,epoch,step,train_loss,train_score,train_AUROC,lr-AdamW
0.13810504972934723,0.9989712238311768,0.9989712238311768,0,39,,,,
,,,0,39,0.39972367882728577,0.9365098476409912,0.9365098476409912,
,,,,49,,,,1.220245676671809e-06
0.02854289673268795,0.9999618530273438,0.9999618530273438,1,79,,,,
,,,1,79,0.06412482261657715,0.9990929961204529,0.9990929961204529,
,,,,99,,,,1.220245676671809e-06
0.012157484889030457,1.0,1.0,2,119,,,,
,,,2,119,0.016280798241496086,0.9999731779098511,0.9999731779098511,
,,,,149,,,,1.220245676671809e-06
0.012108005583286285,0.9999998807907104,0.9999998807907104,3,159,,,,
,,,3,159,0.00728711998090148,0.9999975562095642,0.9999975562095642,
,,,,199,,,,1.220245676671809e-06
0.00898607075214386,1.0,1.0,4,199,,,,
,,,4,199,0.00348161393776536,1.0,1.0,
0.017487484961748123,0.9999618530273438,0.9999618530273438,5,239,,,,
,,,5,239,0.0030139037407934666,1.0,1.0,
,,,,249,,,,1.220245676671809e-06
0.003208641428500414,0.9999999403953552,0.9999999403953552,6,279,,,,
,,,6,279,0.0019044437212869525,1.0,1.0,
,,,,299,,,,1.220245676671809e-06
0.005525898188352585,1.0,1.0,7,319,,,,
,,,7,319,0.0014940389664843678,0.9999999403953552,0.9999999403953552,
,,,,349,,,,1.220245676671809e-06
0.004739651922136545,1.0,1.0,8,359,,,,
,,,8,359,0.0008479325915686786,1.0,1.0,
,,,,399,,,,1.220245676671809e-06
0.0037892793770879507,1.0,1.0,9,399,,,,
,,,9,399,0.0008446393767371774,1.0,1.0,
