val_loss,val_score,val_AUROC,epoch,step,train_loss,train_score,train_AUROC,lr-AdamW
0.14713501930236816,0.9985901117324829,0.9985901117324829,0,39,,,,
,,,0,39,0.4304165840148926,0.928669273853302,0.928669273853302,
,,,,49,,,,1.220245676671809e-06
0.031649090349674225,0.9999237656593323,0.9999237656593323,1,79,,,,
,,,1,79,0.08345897495746613,0.9989221096038818,0.9989221096038818,
,,,,99,,,,1.220245676671809e-06
0.016419580206274986,1.0,1.0,2,119,,,,
,,,2,119,0.0214742012321949,0.9999462366104126,0.9999462366104126,
,,,,149,,,,1.220245676671809e-06
0.051538772881031036,0.9999237060546875,0.9999237060546875,3,159,,,,
,,,3,159,0.02193555422127247,0.9995776414871216,0.9995776414871216,
,,,,199,,,,1.220245676671809e-06
0.013973488472402096,0.9999618530273438,0.9999618530273438,4,199,,,,
,,,4,199,0.020999645814299583,0.9994457960128784,0.9994457960128784,
0.026230987161397934,0.999923825263977,0.999923825263977,5,239,,,,
,,,5,239,0.010497513227164745,0.9999487400054932,0.9999487400054932,
,,,,249,,,,1.220245676671809e-06
0.009939691051840782,0.9999618530273438,0.9999618530273438,6,279,,,,
,,,6,279,0.008938262239098549,0.9997924566268921,0.9997924566268921,
,,,,299,,,,1.220245676671809e-06
0.006901274435222149,1.0,1.0,7,319,,,,
,,,7,319,0.004298817832022905,0.9999999403953552,0.9999999403953552,
,,,,349,,,,1.220245676671809e-06
0.0055811298079788685,1.0,1.0,8,359,,,,
,,,8,359,0.002485717413946986,1.0,1.0,
,,,,399,,,,1.220245676671809e-06
0.02718770131468773,0.9999618530273438,0.9999618530273438,9,399,,,,
,,,9,399,0.003051628125831485,0.999997615814209,0.999997615814209,
