val_loss,val_score,val_AUROC,epoch,step,train_loss,train_score,train_AUROC,lr-AdamW
0.1447170227766037,0.9997713565826416,0.9997713565826416,0,39,,,,
,,,0,39,0.45118528604507446,0.9058084487915039,0.9058084487915039,
,,,,49,,,,1.220245676671809e-06
0.023101860657334328,1.0,1.0,1,79,,,,
,,,1,79,0.07578517496585846,0.9988647699356079,0.9988647699356079,
,,,,99,,,,1.220245676671809e-06
0.007085278630256653,0.9999619126319885,0.9999619126319885,2,119,,,,
,,,2,119,0.01988675631582737,0.9999023675918579,0.9999023675918579,
,,,,149,,,,1.220245676671809e-06
0.004969519563019276,1.0,1.0,3,159,,,,
,,,3,159,0.008715189062058926,0.9999951720237732,0.9999951720237732,
,,,,199,,,,1.220245676671809e-06
0.0035930960439145565,1.0,1.0,4,199,,,,
,,,4,199,0.004082081839442253,1.0,1.0,
0.0014216745039448142,1.0,1.0,5,239,,,,
,,,5,239,0.0021355904173105955,1.0,1.0,
,,,,249,,,,1.220245676671809e-06
0.0013634569477289915,0.9999999403953552,0.9999999403953552,6,279,,,,
,,,6,279,0.0014339289627969265,1.0,1.0,
,,,,299,,,,1.220245676671809e-06
0.0010384670458734035,0.9999998807907104,0.9999998807907104,7,319,,,,
,,,7,319,0.001524371444247663,1.0,1.0,
,,,,349,,,,1.220245676671809e-06
0.0009005527244880795,1.0,1.0,8,359,,,,
,,,8,359,0.0007577729411423206,1.0,1.0,
,,,,399,,,,1.220245676671809e-06
0.00076264888048172,1.0,1.0,9,399,,,,
,,,9,399,0.0010398555314168334,0.9999999403953552,0.9999999403953552,
