val_loss,val_score,val_AUROC,epoch,step,train_loss,train_score,train_AUROC,lr-AdamW
0.12010729312896729,0.9995046257972717,0.9995046257972717,0,39,,,,
,,,0,39,0.43797364830970764,0.9227268695831299,0.9227268695831299,
,,,,49,,,,1.220245676671809e-06
0.014574747532606125,1.0,1.0,1,79,,,,
,,,1,79,0.07726036757230759,0.9988391399383545,0.9988391399383545,
,,,,99,,,,1.220245676671809e-06
0.006565733812749386,1.0,1.0,2,119,,,,
,,,2,119,0.032285016030073166,0.9996166825294495,0.9996166825294495,
,,,,149,,,,1.220245676671809e-06
0.00507386215031147,1.0,1.0,3,159,,,,
,,,3,159,0.02213163860142231,0.999646008014679,0.999646008014679,
,,,,199,,,,1.220245676671809e-06
0.007496383041143417,0.9999999403953552,0.9999999403953552,4,199,,,,
,,,4,199,0.012332528829574585,0.9999291896820068,0.9999291896820068,
0.0041320123709738255,1.0,1.0,5,239,,,,
,,,5,239,0.009277361445128918,0.9998584389686584,0.9998584389686584,
,,,,249,,,,1.220245676671809e-06
0.0023020822554826736,1.0,1.0,6,279,,,,
,,,6,279,0.006294285412877798,0.9999828934669495,0.9999828934669495,
,,,,299,,,,1.220245676671809e-06
0.009045927785336971,1.0,1.0,7,319,,,,
,,,7,319,0.006880483124405146,0.9999756813049316,0.9999756813049316,
,,,,349,,,,1.220245676671809e-06
0.002322874963283539,1.0,1.0,8,359,,,,
,,,8,359,0.00731360400095582,0.9999585151672363,0.9999585151672363,
,,,,399,,,,1.220245676671809e-06
0.0010102347005158663,1.0,1.0,9,399,,,,
,,,9,399,0.004535445012152195,0.9999975562095642,0.9999975562095642,
