val_loss,val_score,val_AUROC,epoch,step,train_loss,train_score,train_AUROC,lr-AdamW
0.10413271933794022,0.997523307800293,0.997523307800293,0,39,,,,
,,,0,39,0.39191585779190063,0.9449573755264282,0.9449573755264282,
,,,,49,,,,1.220245676671809e-06
0.021233873441815376,0.9997713565826416,0.9997713565826416,1,79,,,,
,,,1,79,0.07427855581045151,0.9981103539466858,0.9981103539466858,
,,,,99,,,,1.220245676671809e-06
0.019164100289344788,0.9998095035552979,0.9998095035552979,2,119,,,,
,,,2,119,0.02418227680027485,0.9998900890350342,0.9998900890350342,
,,,,149,,,,1.220245676671809e-06
0.02087407559156418,0.9998475909233093,0.9998475909233093,3,159,,,,
,,,3,159,0.020789960399270058,0.9996727705001831,0.9996727705001831,
,,,,199,,,,1.220245676671809e-06
0.030646948143839836,0.9998856782913208,0.9998856782913208,4,199,,,,
,,,4,199,0.02231055684387684,0.9990209341049194,0.9990209341049194,
0.02370128408074379,0.9998475909233093,0.9998475909233093,5,239,,,,
,,,5,239,0.009996912442147732,0.9996997117996216,0.9996997117996216,
,,,,249,,,,1.220245676671809e-06
0.015008758753538132,0.9998475313186646,0.9998475313186646,6,279,,,,
,,,6,279,0.0072862268425524235,0.9999828338623047,0.9999828338623047,
,,,,299,,,,1.220245676671809e-06
0.02031286619603634,0.9998475909233093,0.9998475909233093,7,319,,,,
,,,7,319,0.00557394465431571,0.9999926686286926,0.9999926686286926,
,,,,349,,,,1.220245676671809e-06
0.021507462486624718,0.9998475313186646,0.9998475313186646,8,359,,,,
,,,8,359,0.001867698854766786,1.0,1.0,
,,,,399,,,,1.220245676671809e-06
0.04059761390089989,0.9998093843460083,0.9998093843460083,9,399,,,,
,,,9,399,0.007589611690491438,0.9996215105056763,0.9996215105056763,
