lr-AdamW,step,val_loss,val_score,val_AUROC,epoch,train_loss,train_score,train_AUROC
1.220245676671809e-06,49,,,,,,,
1.220245676671809e-06,99,,,,,,,
1.220245676671809e-06,149,,,,,,,
,160,0.0053071570582687855,1.0,1.0,0,,,
,160,,,,1,0.1976514309644699,0.9839801788330078,0.9839801788330078
1.220245676671809e-06,199,,,,,,,
1.220245676671809e-06,249,,,,,,,
1.220245676671809e-06,299,,,,,,,
,321,0.0044649094343185425,1.0,1.0,1,,,
,321,,,,2,0.01508826483041048,0.9998046159744263,0.9998046159744263
1.220245676671809e-06,349,,,,,,,
1.220245676671809e-06,399,,,,,,,
1.220245676671809e-06,449,,,,,,,
,482,0.012476877309381962,0.9999999403953552,0.9999999403953552,2,,,
,482,,,,3,0.0107573252171278,0.9999397397041321,0.9999397397041321
1.220245676671809e-06,499,,,,,,,
1.220245676671809e-06,549,,,,,,,
1.220245676671809e-06,599,,,,,,,
,643,0.0004983217222616076,1.0,1.0,3,,,
,643,,,,4,0.005350339226424694,0.9999855756759644,0.9999855756759644
1.220245676671809e-06,649,,,,,,,
1.220245676671809e-06,699,,,,,,,
1.220245676671809e-06,749,,,,,,,
1.220245676671809e-06,799,,,,,,,
,804,0.0003222979430574924,0.9999999403953552,0.9999999403953552,4,,,
,804,,,,5,0.008368042297661304,0.9996756315231323,0.9996756315231323
1.220245676671809e-06,849,,,,,,,
1.220245676671809e-06,899,,,,,,,
1.220245676671809e-06,949,,,,,,,
,965,0.00025317908148281276,1.0,1.0,5,,,
,965,,,,6,0.000515529012773186,1.0,1.0
1.220245676671809e-06,999,,,,,,,
1.220245676671809e-06,1049,,,,,,,
1.220245676671809e-06,1099,,,,,,,
,1126,0.00020154983212705702,1.0,1.0,6,,,
,1126,,,,7,0.003566375467926264,0.999995231628418,0.999995231628418
1.220245676671809e-06,1149,,,,,,,
1.220245676671809e-06,1199,,,,,,,
1.220245676671809e-06,1249,,,,,,,
,1287,0.0003424312162678689,1.0,1.0,7,,,
,1287,,,,8,0.0040860725566744804,0.9999855756759644,0.9999855756759644
1.220245676671809e-06,1299,,,,,,,
1.220245676671809e-06,1349,,,,,,,
1.220245676671809e-06,1399,,,,,,,
,1448,0.0027130190283060074,1.0,1.0,8,,,
,1448,,,,9,0.004264598246663809,0.9999903440475464,0.9999903440475464
1.220245676671809e-06,1449,,,,,,,
1.220245676671809e-06,1499,,,,,,,
1.220245676671809e-06,1549,,,,,,,
1.220245676671809e-06,1599,,,,,,,
,1609,0.0001601703988853842,1.0,1.0,9,,,
,1609,,,,10,0.0010528111597523093,1.0,1.0
