val_loss,val_score,val_AUROC,epoch,step,train_loss,train_score,train_AUROC,lr-AdamW
0.12833534181118011,0.997776210308075,0.997776210308075,0,39,,,,
,,,0,39,0.40425989031791687,0.9378619194030762,0.9378619194030762,
,,,,49,,,,1.220245676671809e-06
0.02427300624549389,0.9998083114624023,0.9998083114624023,1,79,,,,
,,,1,79,0.07095387578010559,0.9984399080276489,0.9984399080276489,
,,,,99,,,,1.220245676671809e-06
0.0661444216966629,1.0,1.0,2,119,,,,
,,,2,119,0.03783924877643585,0.9989111423492432,0.9989111423492432,
,,,,149,,,,1.220245676671809e-06
0.006627295166254044,1.0,1.0,3,159,,,,
,,,3,159,0.01634681224822998,0.9999217987060547,0.9999217987060547,
,,,,199,,,,1.220245676671809e-06
0.007685602642595768,1.0,1.0,4,199,,,,
,,,4,199,0.012051142752170563,0.9996850490570068,0.9996850490570068,
0.004861616529524326,1.0,1.0,5,239,,,,
,,,5,239,0.015599756501615047,0.9998730421066284,0.9998730421066284,
,,,,249,,,,1.220245676671809e-06
0.003490921575576067,1.0,1.0,6,279,,,,
,,,6,279,0.009036819450557232,0.9999634027481079,0.9999634027481079,
,,,,299,,,,1.220245676671809e-06
0.005054054316133261,1.0,1.0,7,319,,,,
,,,7,319,0.00556290103122592,0.9999853372573853,0.9999853372573853,
,,,,349,,,,1.220245676671809e-06
0.012468000873923302,0.9999999403953552,0.9999999403953552,8,359,,,,
,,,8,359,0.008003082126379013,0.9999755620956421,0.9999755620956421,
,,,,399,,,,1.220245676671809e-06
0.002286159433424473,1.0,1.0,9,399,,,,
,,,9,399,0.003116762498393655,1.0,1.0,
