val_loss,val_score,val_AUROC,epoch,step,train_loss,train_score,train_AUROC,lr-AdamW
0.1035815179347992,0.9993903636932373,0.9993903636932373,0,39,,,,
,,,0,39,0.40009886026382446,0.9390245676040649,0.9390245676040649,
,,,,49,,,,1.220245676671809e-06
0.014216740615665913,1.0,1.0,1,79,,,,
,,,1,79,0.05501736328005791,0.999755859375,0.999755859375,
,,,,99,,,,1.220245676671809e-06
0.01168516743928194,1.0,1.0,2,119,,,,
,,,2,119,0.017320940271019936,0.9999585151672363,0.9999585151672363,
,,,,149,,,,1.220245676671809e-06
0.0063697658479213715,1.0,1.0,3,159,,,,
,,,3,159,0.00929579883813858,0.9999902844429016,0.9999902844429016,
,,,,199,,,,1.220245676671809e-06
0.004373227246105671,1.0,1.0,4,199,,,,
,,,4,199,0.003852682886645198,1.0,1.0,
0.0031736530363559723,0.9999999403953552,0.9999999403953552,5,239,,,,
,,,5,239,0.0016296778339892626,1.0,1.0,
,,,,249,,,,1.220245676671809e-06
0.003911130130290985,0.9999999403953552,0.9999999403953552,6,279,,,,
,,,6,279,0.0013026767410337925,1.0,1.0,
,,,,299,,,,1.220245676671809e-06
0.0023910736199468374,1.0,1.0,7,319,,,,
,,,7,319,0.0015716598136350513,1.0,1.0,
,,,,349,,,,1.220245676671809e-06
0.0036383559927344322,1.0,1.0,8,359,,,,
,,,8,359,0.0009680497460067272,1.0,1.0,
,,,,399,,,,1.220245676671809e-06
0.0031653214246034622,1.0,1.0,9,399,,,,
,,,9,399,0.0013602807885035872,1.0,1.0,
